name	tot ms	bw gib
gridsize1	8.1	2.95
gridsize2	8.1	5.91
gridsize4	8.1	11.79
gridsize8	7.6	25.04
gridsize16	7.5	50.73
gridsize24	7.5	75.91
gridsize32	7.6	100.70
gridsize40	7.7	123.52
gridsize48	7.1	161.98
gridsize56	7.1	187.94
gridsize64	7.1	214.57
