name	tot ms	op ns	gflops
float_add 	61.4	6.14	5.21
float_mul 	62.8	6.28	5.09
float_sub 	61.5	6.15	5.21
float_div 	186.7	18.67	1.71
float_fma 	61.5	6.15	10.41
float_sqrt	474.5	47.45	0.67
float_native_sqrt	474.2	47.42	0.67
float_tanh	74.1	222.17	0.14
int_mul   	134.5	13.45	2.38
int_div   	34.2	102.75	0.31
int_randbase_add	58.8	5.88	5.44
int_randbase_sub	58.8	5.88	5.44
int_randbase_mul	136.6	13.66	2.34
int_randbase_div	52.4	157.30	0.20
int_randbase_shift	59.1	5.91	5.42
