name	tot ms	bw gib
gridsize1	8.6	2.78
gridsize2	9.4	5.05
gridsize4	9.1	10.47
gridsize8	15.8	12.07
gridsize16	29.3	13.03
gridsize24	42.7	13.41
gridsize32	55.7	13.69
gridsize40	70.3	13.57
gridsize48	83.4	13.71
gridsize56	97.0	13.77
gridsize64	109.5	13.93
